"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"100_g_at","8.03993952758348","8.04987527195588","7.98624765198356","8.06638262798462","8.12508973970021","8.06109661626249","8.04654016270025","8.06319741231842","-0.0383697128684575","-0.0661207262999346","0.0248577014000428","0.594338559307369","0.158250544521601","0.785975106845111","1","0.808435308032862","1"
"1000_at","8.99373032448867","8.79568709307887","8.4643813321588","8.9515399392555","8.80426840485252","8.79331458196911","8.36631820527412","8.8652246374931","0.0940532148482451","-0.483649595954133","-0.0913987927514786","0.188758876187417","3.87029095430887e-10","0.311853798711679","1","3.11225626102863e-08","1"
"1001_at","5.26910714226892","5.25036153050134","5.21419094191078","5.31275532734816","5.08451603844461","5.19461894443239","5.18659177501754","5.10901754910877","0.117917658756474","0.023579768107397","-0.156991936931075","0.19457384913918","0.678234218744388","0.175973495554286","1","1","1"
"1002_f_at","4.24913608834905","4.23071160904817","4.15432854850473","4.25398441236106","4.23413370216757","4.15121153195335","4.23251955494973","4.1894640277556","0.0202079603591903","-0.048210843531082","-0.0931933926264685","0.832422448749515","0.431259756705476","0.446620460252078","1","1","1"
"1003_s_at","6.72392025157779","6.71751759081653","6.63649739027765","6.67144661407267","6.69814825459868","6.60169108654577","6.70029901498398","6.59024268416129","0.0397502016137308","-0.0426360504574208","-0.0895736216854432","0.665235159563697","0.468045614520943","0.446198509531035","1","1","1"
"1004_at","6.15740012079759","6.17210230654982","6.08420634107969","6.18134544518754","6.03638908780854","5.99420100490362","6.07699425521949","6.0176035542258","0.117466577864297","-0.0162943061534779","-0.11379894712886","0.25420204208299","0.800955802052175","0.382724751076687","1","1","1"
"1005_at","7.77218977134662","7.62350331967729","7.71230211180105","7.81074704441213","7.20838708390271","7.08974459933796","7.68034846240398","7.06735655257799","0.468226387253609","0.206036859477856","-0.531849038046842","0.0570396420214287","0.178709908248667","0.0869651509012705","0.89679387362458","0.890727434520105","1"
"1006_at","3.86505663399859","3.8310411216664","3.79622410294215","3.79347175678574","3.72969355165239","3.82291334600766","3.77437852696791","3.6454123317737","0.0783489647478055","-0.0120737778704654","-0.113517506371966","0.422609823255816","0.84503520115022","0.362813602665207","1","1","1"
"1007_s_at","8.23080540379978","8.81221287884953","8.35504227748017","8.36641716920551","8.51803923638348","8.84536708758023","8.18131186047802","8.61676746529735","-0.0992519801010219","-0.106245251112536","0.460964249585848","0.447695141232203","0.207556040760972","0.0102471764946789","1","0.997232658102475","0.707398923678386"
"1008_f_at","8.77438850057298","8.60025394191013","8.3419497913853","8.70520892146794","8.7161541648595","8.49963638666733","8.39718671734698","8.5804051507137","0.0571046839372071","-0.375703078350095","-0.113471261675157","0.628102450988903","5.02294324604692e-05","0.451714165430163","1","0.000847519755727246","1"
